cora
30.76 0.87
25.91 1.21
59.12 1.16
57.82 29.43 25.33 58.06
56.81 30.48 25.63 56.16
56.81 26.45 22.73 57.08
57.14 30.81 26.51 57.1
57.14 29.83 25.62 57.2
56.72 29.21 24.83 56.43
56.64 26.98 22.69 56.24
57.23 29.21 24.34 56.7
56.97 30.79 26.43 56.9
56.81 30.62 26.09 56.77
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 0.01
57.01 0.33
29.38 1.46
25.02 1.32
56.86 0.52
58.99 30.4 31.49 57.6
59.33 30.92 32.1 57.91
57.9 27.83 28.61 56.43
57.9 30.63 30.98 56.01
57.98 30.43 30.94 56.04
57.82 30.35 30.77 55.86
58.15 30.47 30.95 56.35
57.98 30.58 31.01 56.07
56.89 27.4 24.96 54.69
57.82 27.69 28.51 56.37
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 0.1
58.08 0.63
29.67 1.34
30.03 2.01
56.33 0.85
56.39 31.02 29.31 54.85
56.97 31.27 29.78 56.12
56.39 30.13 28.63 55.08
56.39 31.44 29.44 54.87
55.97 29.83 28.45 54.02
56.55 30.77 29.17 55.2
56.22 30.65 28.66 54.64
56.22 30.96 28.75 54.58
56.64 31.44 29.55 55.29
55.88 26.31 23.27 54.2
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 1
56.36 0.3
30.38 1.45
28.5 1.79
54.89 0.57
56.64 30.31 29.19 54.82
56.81 30.53 29.75 55.3
56.72 30.37 29.28 54.89
58.32 31.12 31.28 57.18
56.64 30.31 29.19 54.82
56.81 30.57 29.45 55.11
56.72 30.16 29.38 54.75
56.55 27.49 23.93 54.91
56.97 30.23 29.85 55.49
58.15 30.83 31.03 57.0
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 10
57.03 0.61
30.19 0.94
29.23 1.9
55.43 0.86
56.72 30.37 29.28 54.89
56.89 30.44 29.44 55.01
56.72 30.01 29.26 54.8
57.31 30.1 30.16 55.62
56.72 30.37 29.28 54.89
56.97 30.1 29.87 55.38
56.64 30.31 29.19 54.82
56.64 27.6 24.1 54.97
57.06 29.99 29.93 55.37
57.39 29.9 30.02 55.77
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 100
56.91 0.26
29.92 0.79
29.05 1.69
55.15 0.34
56.97 30.52 29.52 55.14
56.72 30.13 29.33 54.74
56.81 29.95 29.63 55.27
56.89 28.37 28.42 55.62
56.89 30.51 29.49 55.03
56.97 30.1 29.87 55.38
56.64 30.31 29.19 54.82
56.72 27.74 24.29 55.04
57.31 30.21 30.26 55.57
57.39 29.9 30.02 55.77
gnnlayers: 5, lr: 0.001, dims: [500], lamda: 1000
56.93 0.23
29.77 0.89
29.0 1.64
55.24 0.33

hamicora
71.57 55.89 47.38 68.14
71.97 55.81 48.21 68.04
71.82 54.73 49.79 70.16
72.27 54.47 50.66 70.25
71.27 56.23 50.18 69.46
72.42 56.13 48.85 68.73
72.9 56.15 52.25 70.72
72.08 54.71 50.31 70.13
